,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,unique_suit
6496,2,4,2,8,3,9,3,9,4,10,3
6497,1,3,2,8,2,10,4,10,4,10,3
6498,1,2,2,3,2,6,3,9,4,13,4
6499,2,1,3,7,3,8,3,9,4,12,3
6500,1,2,2,6,2,10,2,11,4,13,3
6501,1,1,1,4,3,11,3,12,4,13,3
6502,1,1,2,3,2,6,3,9,3,10,3
6503,2,1,3,2,3,4,3,9,4,11,3
6504,1,4,1,7,2,9,4,9,4,11,3
6505,1,2,1,8,2,9,3,10,4,12,4
6506,1,4,2,7,3,9,4,10,4,12,4
6507,1,4,2,5,3,8,3,11,4,12,4
6508,1,5,1,7,2,9,3,10,3,13,3
6509,1,1,2,2,3,9,3,11,4,12,4
6510,1,3,2,11,3,12,4,13,4,13,4
6511,1,1,1,3,1,4,2,6,3,8,3
6512,1,1,1,3,2,7,3,8,3,9,3
6513,1,4,2,4,3,8,4,9,4,11,4
6514,1,1,1,2,3,8,4,11,4,13,3
6515,2,2,2,6,4,8,4,8,4,9,2
6516,2,6,2,7,3,8,3,9,4,11,3
6517,1,6,2,9,3,9,3,10,4,11,4
6518,1,3,1,6,2,7,3,8,4,11,4
6519,1,2,1,6,1,10,2,10,4,12,3
6520,1,4,1,6,3,8,3,10,4,13,3
6521,1,2,2,3,3,4,4,9,4,12,4
6522,2,5,2,6,3,9,4,11,4,12,3
6523,1,2,1,3,2,5,3,10,3,13,3
6524,1,6,1,8,2,8,2,10,3,13,3
6525,2,1,3,1,3,2,3,7,4,13,3
6526,2,2,2,3,4,4,4,6,4,10,2
6527,3,3,3,4,3,7,4,9,4,13,2
6528,1,3,3,4,3,4,3,8,3,11,2
6529,2,2,3,3,3,3,4,10,4,11,3
6530,1,1,3,9,3,12,4,12,4,13,3
6531,1,5,2,8,4,9,4,10,4,13,3
6532,2,5,3,6,3,10,3,12,4,13,3
6533,1,2,1,5,2,6,2,6,4,7,3
6534,1,1,2,3,4,8,4,11,4,13,3
6535,1,1,2,3,2,5,3,6,3,7,3
6536,1,1,2,3,2,9,3,12,4,12,4
6537,1,2,1,8,1,9,3,10,4,13,3
6538,1,2,1,8,1,8,3,10,4,12,3
6539,2,6,3,8,3,8,4,9,4,13,3
6540,2,1,4,2,4,6,4,8,4,12,2
6541,1,2,2,4,3,7,3,7,4,8,4
6542,1,2,1,2,1,3,2,11,3,12,3
6543,1,1,1,2,2,8,2,10,3,13,3
6544,1,2,4,3,4,4,4,7,4,8,2
6545,1,1,2,2,2,4,4,11,4,13,3
6546,1,1,1,2,2,3,3,5,4,10,4
6547,1,3,2,4,2,7,3,9,3,13,3
6548,1,3,1,4,2,5,2,7,4,8,3
6549,1,4,1,6,3,6,4,9,4,11,3
6550,1,1,2,4,3,5,4,11,4,12,4
6551,2,2,2,6,2,7,2,7,3,13,2
6552,1,4,1,7,2,9,2,11,3,12,3
6553,1,2,2,3,3,6,4,10,4,13,4
6554,2,1,3,7,3,10,4,12,4,13,3
6555,1,7,3,8,3,9,3,10,3,12,2
6556,2,1,2,6,3,9,4,10,4,12,3
6557,1,2,1,3,3,7,3,10,4,12,3
6558,1,3,2,4,2,5,4,9,4,10,3
6559,1,1,3,3,3,3,4,10,4,10,3
6560,2,1,2,4,3,10,4,12,4,12,3
6561,1,1,2,4,2,6,3,9,4,12,4
6562,1,2,2,7,3,7,4,8,4,10,4
6563,1,2,2,5,3,8,4,9,4,9,4
6564,1,2,1,6,2,8,3,10,3,10,3
6565,1,3,1,6,1,6,3,8,4,13,3
6566,1,5,1,5,2,6,4,7,4,7,3
6567,2,1,3,4,3,5,4,6,4,13,3
6568,1,1,2,2,3,7,4,10,4,11,4
6569,1,2,1,2,2,7,3,7,4,11,4
6570,1,4,2,6,4,8,4,10,4,12,3
6571,1,4,2,8,3,9,3,13,4,13,4
6572,1,6,1,9,3,10,3,12,4,12,3
6573,1,6,1,7,1,10,2,11,3,13,3
6574,1,4,2,6,2,7,2,8,2,13,2
6575,1,1,2,3,3,8,3,9,4,11,4
6576,2,4,2,6,3,8,3,11,4,11,3
6577,1,2,1,7,2,10,4,11,4,12,3
6578,1,3,3,7,3,7,3,8,4,10,3
6579,3,2,3,6,3,9,3,10,4,10,2
6580,1,3,2,4,2,5,2,8,4,8,3
6581,1,8,2,9,2,10,3,12,3,13,3
6582,2,8,3,9,4,10,4,12,4,12,3
6583,2,5,2,6,2,6,3,8,4,13,3
6584,1,1,1,3,1,8,1,11,3,13,2
6585,2,3,3,7,3,8,3,8,3,12,2
6586,2,1,3,2,3,4,4,4,4,13,3
6587,1,9,2,10,2,11,3,12,3,13,3
6588,1,2,1,7,2,9,3,13,4,13,4
6589,1,3,2,7,3,9,4,9,4,10,4
6590,1,1,2,2,3,4,3,8,3,12,3
6591,1,2,2,2,2,4,3,7,4,12,4
6592,1,3,1,3,2,5,3,6,4,12,4
6593,1,2,1,6,3,6,4,12,4,13,3
6594,1,2,1,2,1,4,2,4,4,7,3
6595,1,1,1,2,2,3,4,9,4,11,3
6596,1,2,1,4,3,5,4,6,4,6,3
6597,2,1,2,2,2,3,3,10,4,12,3
6598,2,4,3,6,3,6,4,11,4,13,3
6599,2,1,3,6,4,10,4,10,4,13,3
6600,2,6,2,7,2,8,3,9,4,13,3
6601,2,1,3,4,4,6,4,6,4,12,3
6602,1,4,1,7,2,8,4,8,4,11,3
6603,1,5,2,8,2,9,2,10,4,11,3
6604,2,1,2,2,3,8,3,12,4,13,3
6605,1,2,2,5,3,6,3,7,4,13,4
6606,1,2,2,4,2,6,4,7,4,10,3
6607,1,4,2,5,3,6,4,11,4,13,4
6608,2,3,2,3,3,5,3,8,4,10,3
6609,1,4,2,9,3,12,3,13,3,13,3
6610,1,1,3,2,3,2,4,4,4,11,3
6611,2,1,3,3,3,6,4,6,4,12,3
6612,1,3,1,8,2,9,2,12,4,13,3
6613,1,2,3,3,3,4,4,9,4,13,3
6614,1,2,2,5,3,8,3,11,4,12,4
6615,2,1,2,5,3,5,3,9,4,10,3
6616,2,1,2,3,3,4,3,10,3,11,2
6617,1,1,1,2,2,4,2,4,3,7,3
6618,1,2,1,6,2,9,2,10,3,11,3
6619,1,2,1,4,2,9,4,11,4,13,3
6620,1,2,2,3,3,5,3,7,4,7,4
6621,1,3,2,5,2,9,3,11,4,11,4
6622,1,3,1,6,2,10,4,12,4,13,3
6623,1,2,3,3,3,5,4,8,4,9,3
6624,1,6,2,7,2,9,3,9,4,13,4
6625,1,1,1,9,2,11,3,12,4,12,4
6626,1,1,1,5,2,5,3,7,4,12,4
6627,1,1,2,3,3,4,4,7,4,12,4
6628,1,6,1,7,3,8,4,10,4,11,3
6629,1,1,2,3,2,6,3,11,4,12,4
6630,1,1,1,2,2,3,3,6,4,11,4
6631,1,4,1,5,3,8,3,11,4,13,3
6632,1,4,1,4,2,7,3,7,4,12,4
6633,3,2,3,2,4,6,4,9,4,12,2
6634,1,7,2,9,2,9,2,10,4,12,3
6635,1,1,2,1,3,3,3,7,4,11,4
6636,1,2,1,4,2,4,4,11,4,11,3
6637,1,2,1,7,2,9,3,9,3,13,3
6638,1,1,3,2,3,6,3,7,4,11,3
6639,2,4,3,7,4,11,4,12,4,13,3
6640,2,1,2,3,3,5,4,7,4,11,3
6641,2,3,2,10,3,11,3,12,3,13,2
6642,2,1,2,2,3,8,3,11,4,11,3
6643,1,2,1,3,1,5,3,5,4,12,3
6644,1,1,2,8,2,9,4,10,4,11,3
6645,2,4,2,5,3,6,4,8,4,10,3
6646,2,3,2,6,3,6,3,11,4,12,3
6647,1,1,1,2,3,6,3,11,4,12,3
6648,3,3,3,3,4,7,4,7,4,9,2
6649,1,2,1,3,1,10,3,11,4,12,3
6650,2,7,2,9,2,10,3,11,4,13,3
6651,1,3,2,4,2,6,3,7,4,12,4
6652,1,8,1,9,2,10,3,13,4,13,4
6653,1,1,1,3,4,4,4,5,4,7,2
6654,1,1,2,4,3,10,3,12,4,13,4
6655,3,5,4,6,4,6,4,9,4,12,2
6656,1,2,1,6,2,8,2,9,3,13,3
6657,2,1,2,2,3,3,4,5,4,5,3
6658,1,6,2,10,2,11,4,11,4,12,3
6659,2,5,2,7,2,8,2,10,3,11,2
6660,1,1,2,2,3,4,3,7,4,7,4
6661,1,4,1,5,2,12,3,13,4,13,4
6662,1,4,1,7,1,7,1,9,3,10,2
6663,1,2,1,5,2,6,2,6,4,13,3
6664,1,1,1,1,2,5,2,12,3,13,3
6665,1,5,2,7,3,9,3,13,4,13,4
6666,1,2,2,2,2,3,3,7,3,11,3
6667,1,2,1,3,1,5,3,11,4,13,3
6668,2,2,2,3,3,6,3,9,4,12,3
6669,2,2,2,5,3,5,3,11,4,12,3
6670,1,7,1,8,1,9,2,10,4,11,3
6671,1,5,1,5,3,8,3,9,4,13,3
6672,1,11,2,12,3,13,3,13,3,13,3
6673,1,1,2,1,2,7,4,8,4,11,3
6674,1,2,2,3,2,8,3,12,3,13,3
6675,1,2,1,2,1,5,3,10,4,11,3
6676,1,1,1,6,2,7,3,12,3,13,3
6677,1,2,2,2,2,5,2,10,3,12,3
6678,1,1,2,2,2,8,3,9,3,10,3
6679,2,2,3,4,4,4,4,7,4,9,3
6680,1,1,2,1,3,6,4,9,4,13,4
6681,1,1,1,2,3,7,3,12,4,13,3
6682,1,2,1,4,1,8,3,12,4,13,3
6683,1,2,2,3,3,4,4,8,4,11,4
6684,1,5,1,8,1,9,2,12,4,13,3
6685,2,5,3,5,3,6,4,9,4,13,3
6686,2,1,2,10,2,10,2,11,4,12,2
6687,1,8,2,10,2,11,2,12,2,13,2
6688,1,1,1,2,1,8,2,10,2,11,2
6689,1,4,2,9,2,9,3,10,4,13,4
6690,1,2,2,5,3,8,4,11,4,11,4
6691,1,3,1,4,2,4,3,12,4,13,4
6692,1,2,1,5,2,8,2,12,4,13,3
6693,1,4,1,4,2,8,3,8,3,10,3
6694,1,3,2,4,3,6,3,8,4,11,4
6695,1,5,1,8,1,9,3,10,4,13,3
6696,1,5,3,5,3,6,3,8,4,10,3
6697,1,1,2,1,2,5,4,6,4,7,3
6698,1,1,3,9,3,10,3,11,4,12,3
6699,2,1,2,6,2,7,3,9,3,12,2
6700,1,3,2,7,3,9,4,12,4,13,4
6701,1,4,2,10,3,11,4,12,4,13,4
6702,1,1,1,3,2,4,3,9,3,11,3
6703,1,1,2,2,2,3,2,5,4,10,3
6704,1,8,1,9,2,11,3,12,4,13,4
6705,1,1,1,2,2,3,3,7,4,10,4
6706,2,1,3,7,3,8,3,11,4,13,3
6707,2,3,2,7,2,8,3,10,3,12,2
6708,1,5,1,6,1,6,4,9,4,11,2
6709,1,2,1,2,3,6,4,10,4,12,3
6710,1,2,2,3,2,6,3,6,4,9,4
6711,2,5,3,8,3,9,3,10,4,13,3
6712,1,4,2,9,3,10,4,11,4,13,4
6713,3,3,3,6,3,7,4,11,4,11,2
6714,1,2,1,3,2,3,3,3,4,9,4
6715,2,1,2,4,2,7,3,9,4,13,3
6716,1,1,2,4,4,6,4,10,4,12,3
6717,1,3,2,6,3,7,3,12,3,12,3
6718,2,2,3,3,3,4,4,11,4,13,3
6719,1,1,1,2,3,3,3,4,3,10,2
6720,1,4,1,9,3,10,4,13,4,13,3
6721,1,2,2,5,3,9,3,13,4,13,4
6722,2,2,3,3,3,4,3,10,4,10,3
6723,1,3,1,6,2,10,3,12,3,12,3
6724,2,4,2,10,4,11,4,12,4,12,2
6725,1,1,2,3,2,3,4,5,4,6,3
6726,1,3,2,10,3,10,4,11,4,13,4
6727,1,4,1,9,3,12,3,13,4,13,3
6728,1,3,2,8,2,9,4,9,4,13,3
6729,1,5,1,6,1,7,2,7,4,13,3
6730,2,2,2,4,3,5,4,11,4,11,3
6731,1,2,1,3,1,4,4,7,4,9,2
6732,2,1,3,8,4,9,4,11,4,13,3
6733,1,2,2,3,4,3,4,5,4,11,3
6734,3,1,3,2,3,3,3,6,4,12,2
6735,1,1,1,5,2,8,2,9,4,13,3
6736,1,3,1,4,3,5,4,9,4,13,3
6737,1,2,1,5,2,8,3,9,4,12,4
6738,1,1,1,1,2,1,3,8,4,11,4
6739,1,2,1,7,1,9,2,11,2,13,2
6740,1,6,3,8,3,8,4,9,4,10,3
6741,1,4,2,5,2,7,3,10,3,11,3
6742,1,5,1,6,2,8,3,9,4,13,4
6743,1,2,2,6,4,7,4,8,4,10,3
6744,1,1,1,2,1,4,1,10,1,12,1
6745,1,2,3,3,3,6,4,8,4,10,3
6746,1,2,2,3,2,9,2,10,3,11,3
6747,3,2,3,4,3,6,4,8,4,10,2
6748,1,2,2,4,2,7,3,8,4,12,4
6749,1,6,2,8,3,11,4,12,4,12,4
6750,2,6,2,10,3,10,4,10,4,12,3
6751,1,4,1,7,1,8,3,11,4,12,3
6752,1,3,1,9,2,9,3,10,3,12,3
6753,3,3,3,3,3,4,4,5,4,8,2
6754,2,2,3,3,4,3,4,9,4,11,3
6755,1,7,1,8,1,9,2,12,3,13,3
6756,1,4,2,6,4,9,4,9,4,11,3
6757,1,3,2,5,3,5,3,8,4,12,4
6758,3,2,3,2,3,4,4,5,4,12,2
6759,1,2,1,2,2,5,3,11,4,13,4
6760,2,1,3,3,4,8,4,13,4,13,3
6761,1,2,3,5,3,8,4,9,4,9,3
6762,1,3,1,4,2,7,4,9,4,12,3
6763,1,2,1,4,2,4,3,9,4,10,4
6764,1,5,2,6,2,12,3,12,3,13,3
6765,1,3,1,4,2,6,2,7,2,13,2
6766,1,5,1,5,2,6,3,7,3,8,3
6767,1,1,2,2,2,4,3,7,4,9,4
6768,1,5,2,5,2,8,3,8,4,12,4
6769,1,1,1,2,2,8,3,9,4,13,4
6770,1,2,2,3,2,5,2,8,3,11,3
6771,1,1,1,5,2,7,3,10,3,13,3
6772,1,1,2,4,3,5,3,9,4,13,4
6773,2,4,3,5,3,9,4,9,4,11,3
6774,1,2,2,5,2,9,4,10,4,11,3
6775,2,1,3,2,3,4,3,5,4,9,3
6776,1,2,1,4,2,4,3,8,4,13,4
6777,1,1,2,2,3,6,4,8,4,11,4
6778,2,2,3,4,3,9,4,12,4,12,3
6779,1,1,3,7,4,8,4,10,4,11,3
6780,2,9,2,11,3,12,3,12,3,13,2
6781,1,3,2,6,2,11,3,12,4,13,4
6782,1,1,2,2,2,7,3,9,4,11,4
6783,1,3,1,3,2,4,4,4,4,6,3
6784,2,5,3,6,3,8,4,9,4,13,3
6785,1,1,2,4,3,5,3,7,3,12,3
6786,1,1,2,3,3,4,4,6,4,10,4
6787,1,2,1,3,3,8,4,9,4,12,3
6788,1,6,1,7,2,12,3,12,4,13,4
6789,1,1,2,3,2,4,2,6,4,11,3
6790,1,1,1,1,2,4,3,4,4,13,4
6791,1,5,1,5,2,6,2,7,4,10,3
6792,1,1,1,3,2,7,3,9,4,13,4
6793,1,6,1,10,2,11,2,12,3,12,3
6794,1,1,2,4,3,5,3,5,4,12,4
6795,2,1,3,3,4,5,4,11,4,12,3
6796,1,1,2,2,3,5,3,7,4,13,4
6797,1,2,2,2,2,5,2,7,4,9,3
6798,2,1,3,3,4,7,4,8,4,9,3
6799,2,3,2,8,4,9,4,11,4,11,2
6800,2,2,2,4,2,5,3,7,4,9,3
6801,1,1,2,2,2,9,3,9,4,12,4
6802,2,4,2,5,2,7,3,11,4,12,3
6803,1,3,2,4,3,5,4,6,4,12,4
6804,1,1,2,1,3,4,4,9,4,12,4
6805,1,5,2,6,3,7,3,12,4,13,4
6806,1,2,2,4,3,5,3,8,4,9,4
6807,1,1,2,4,4,4,4,9,4,10,3
6808,2,4,3,5,3,8,4,9,4,13,3
6809,1,1,1,9,3,11,3,13,3,13,2
6810,2,3,3,7,3,9,3,10,4,12,3
6811,1,1,2,3,4,9,4,10,4,11,3
6812,1,1,1,3,1,5,3,5,3,10,2
6813,1,4,2,8,3,10,3,10,4,12,4
6814,1,1,1,5,1,6,3,7,3,13,2
6815,1,1,1,3,2,5,2,7,3,10,3
6816,1,1,3,1,3,4,3,11,4,12,3
6817,1,4,2,4,3,5,4,5,4,10,4
6818,2,4,2,6,3,7,3,11,4,11,3
6819,1,5,2,6,2,7,2,10,2,13,2
6820,1,1,2,7,3,9,3,10,4,11,4
6821,2,2,2,3,3,4,3,11,3,13,2
6822,1,5,2,9,2,9,2,10,4,13,3
6823,2,1,2,3,3,7,4,11,4,12,3
6824,2,4,2,6,3,7,4,12,4,13,3
6825,1,4,1,7,2,8,2,10,3,12,3
6826,1,5,2,5,3,7,4,10,4,13,4
6827,1,5,2,6,2,7,3,8,4,11,4
6828,1,1,1,5,1,9,1,11,4,11,2
6829,2,4,3,5,4,9,4,9,4,10,3
6830,2,1,2,5,3,6,4,12,4,13,3
6831,2,1,2,1,3,2,3,9,4,12,3
6832,1,3,1,7,1,9,2,12,3,13,3
6833,1,4,2,5,2,12,3,13,3,13,3
6834,2,1,3,1,3,2,4,4,4,8,3
6835,2,2,2,7,3,8,4,8,4,12,3
6836,1,1,1,2,2,7,2,8,4,10,3
6837,2,3,2,8,2,8,3,8,4,11,3
6838,2,5,3,8,3,8,4,11,4,11,3
6839,1,1,1,3,3,10,4,10,4,12,3
6840,1,3,1,4,1,10,3,12,4,13,3
6841,1,1,2,5,2,5,3,6,4,12,4
6842,1,1,1,2,1,5,2,7,3,9,3
6843,1,9,2,9,3,12,4,13,4,13,4
6844,1,1,2,2,2,2,3,11,4,12,4
6845,1,2,2,4,2,10,3,11,4,13,4
6846,1,4,1,5,3,7,3,10,3,12,2
6847,1,1,1,2,1,7,3,7,4,13,3
6848,1,1,2,8,3,8,3,11,4,13,4
6849,1,5,1,6,2,9,3,9,4,12,4
6850,1,4,3,4,3,8,4,9,4,10,3
6851,2,4,2,6,2,6,3,7,4,9,3
6852,2,1,2,7,3,7,3,9,4,11,3
6853,1,4,1,9,2,10,3,12,4,13,4
6854,1,1,3,5,4,8,4,8,4,12,3
6855,1,1,2,6,3,8,4,8,4,11,4
6856,1,3,1,5,2,7,2,11,3,12,3
6857,1,1,2,2,3,2,3,3,4,13,4
6858,1,6,2,7,3,8,3,11,4,13,4
6859,1,2,2,2,3,4,3,8,4,11,4
6860,1,4,1,5,1,6,2,6,3,12,3
6861,1,2,2,7,3,7,3,9,4,10,4
6862,2,2,2,3,2,9,2,10,3,13,2
6863,1,2,1,3,1,4,3,10,3,11,2
6864,1,7,2,9,3,10,4,12,4,12,4
6865,1,2,2,6,4,9,4,11,4,12,3
6866,2,2,4,3,4,4,4,9,4,12,2
6867,1,2,2,7,2,9,3,10,3,12,3
6868,1,1,1,9,1,11,1,12,3,13,2
6869,1,1,2,4,2,6,3,7,3,13,3
6870,1,1,1,4,2,7,4,10,4,12,3
6871,1,4,1,5,3,10,3,11,3,13,2
6872,1,7,1,7,2,8,2,10,3,11,3
6873,1,4,1,4,2,6,4,8,4,12,3
6874,1,1,1,5,1,6,2,7,2,9,2
6875,1,2,2,6,2,8,2,8,4,10,3
6876,1,3,1,10,2,12,2,12,2,13,2
6877,1,1,2,5,2,11,3,12,3,12,3
6878,1,2,1,3,2,6,2,10,4,13,3
6879,2,5,3,6,3,9,3,13,4,13,3
6880,1,1,1,6,3,7,4,11,4,13,3
6881,2,3,3,4,3,6,3,10,3,12,2
6882,1,3,3,4,3,6,4,10,4,12,3
6883,1,4,2,8,3,8,4,9,4,11,4
6884,1,1,1,3,1,3,2,6,3,10,3
6885,2,2,2,4,3,5,4,11,4,13,3
6886,1,6,1,7,2,10,3,11,4,12,4
6887,2,1,2,3,3,11,4,12,4,13,3
6888,1,3,2,3,2,7,3,9,3,12,3
6889,1,2,2,2,3,3,3,5,3,8,3
6890,1,1,2,2,2,7,3,8,3,10,3
6891,1,4,2,5,3,9,3,9,3,13,3
6892,1,3,3,9,3,9,4,10,4,11,3
6893,1,3,2,5,4,6,4,10,4,13,3
6894,2,6,2,7,3,8,4,11,4,12,3
6895,1,1,1,4,1,9,2,9,4,12,3
6896,1,1,1,2,1,6,1,7,3,11,2
6897,2,6,2,6,3,10,3,12,4,13,3
6898,1,5,2,8,2,9,3,10,4,11,4
6899,1,3,2,3,2,5,3,8,4,9,4
6900,1,1,1,2,2,8,3,10,4,11,4
6901,1,2,2,4,3,5,4,6,4,10,4
6902,1,3,2,6,2,7,2,9,3,11,3
6903,1,2,1,4,2,8,2,12,4,13,3
6904,1,4,1,4,2,8,2,11,4,12,3
6905,1,1,1,2,3,5,4,7,4,9,3
6906,1,2,4,2,4,6,4,9,4,12,2
6907,1,1,1,1,2,11,3,11,4,13,4
6908,1,4,2,4,3,7,3,9,4,9,4
6909,1,3,2,7,2,10,2,10,4,12,3
6910,2,2,2,3,3,6,4,8,4,9,3
6911,1,1,3,1,3,8,4,12,4,13,3
6912,1,1,2,4,3,4,3,11,3,13,3
6913,1,2,1,4,3,7,3,11,4,12,3
6914,1,1,2,5,2,6,2,10,3,11,3
6915,2,4,2,4,3,5,3,11,4,11,3
6916,1,1,1,3,2,5,3,8,4,11,4
6917,1,1,2,7,2,8,2,12,4,13,3
6918,1,4,2,5,3,10,4,11,4,13,4
6919,2,1,3,3,3,6,4,8,4,9,3
6920,1,3,1,3,2,5,3,7,4,7,4
6921,1,1,2,3,4,9,4,9,4,10,3
6922,2,6,3,6,3,6,4,9,4,10,3
6923,2,3,2,4,2,10,3,12,3,13,2
6924,1,2,1,3,2,7,3,10,3,10,3
6925,1,1,2,4,2,9,2,10,4,12,3
6926,1,4,1,7,2,7,2,8,3,13,3
6927,1,1,2,4,2,6,2,7,4,11,3
6928,2,4,2,7,3,8,4,10,4,12,3
6929,1,4,1,5,1,5,3,13,3,13,2
6930,1,1,1,2,2,4,3,8,4,9,4
6931,1,3,1,4,2,6,2,10,3,11,3
6932,1,1,1,4,2,7,2,10,3,11,3
6933,1,1,2,2,2,4,2,5,3,5,3
6934,1,5,1,7,2,10,2,13,3,13,3
6935,2,4,2,4,3,7,4,12,4,13,3
6936,2,1,3,5,3,9,4,12,4,13,3
6937,1,2,2,3,2,4,3,6,4,7,4
6938,1,2,2,2,3,4,3,12,4,12,4
6939,1,4,2,5,3,8,3,9,4,10,4
6940,1,1,2,2,2,4,2,7,3,12,3
6941,1,2,2,2,2,4,2,12,3,12,3
6942,1,2,1,4,3,6,4,11,4,13,3
6943,1,3,2,3,2,6,3,9,4,11,4
6944,2,3,3,5,4,8,4,11,4,13,3
6945,1,10,2,10,2,11,3,11,3,12,3
6946,1,2,1,4,3,4,4,5,4,6,3
6947,2,2,3,3,3,4,3,7,4,12,3
6948,1,1,3,8,4,10,4,11,4,12,3
6949,2,3,2,5,3,6,4,7,4,11,3
6950,1,7,2,8,2,8,2,12,3,13,3
6951,1,1,1,1,3,5,3,6,4,7,3
6952,2,7,2,7,3,8,3,10,3,12,2
6953,1,3,1,7,1,7,1,10,4,12,2
6954,1,4,1,6,2,6,3,7,3,10,3
6955,2,2,3,2,4,3,4,12,4,13,3
6956,1,2,2,5,2,6,3,10,4,12,4
6957,1,2,2,3,2,6,3,10,4,13,4
6958,1,4,2,4,2,5,3,7,4,10,4
6959,1,1,2,1,3,2,3,6,4,13,4
6960,2,2,3,5,3,7,4,11,4,13,3
6961,1,5,1,6,2,7,4,11,4,13,3
6962,3,3,4,8,4,9,4,11,4,13,2
6963,1,2,1,6,1,10,2,12,3,13,3
6964,1,1,1,9,2,9,3,10,4,13,4
6965,1,5,2,6,2,7,4,10,4,11,3
6966,1,1,3,3,3,5,3,10,4,11,3
6967,1,2,2,5,2,6,3,6,4,13,4
6968,2,1,3,4,3,4,4,7,4,13,3
6969,1,3,1,7,1,10,2,11,4,12,3
6970,1,1,1,2,2,3,4,7,4,8,3
6971,1,3,2,4,2,7,3,9,4,10,4
6972,1,3,2,4,2,4,2,7,3,12,3
6973,1,1,1,2,3,4,4,7,4,9,3
6974,3,1,3,3,3,4,4,8,4,13,2
6975,1,4,1,6,2,7,2,8,4,11,3
6976,1,5,2,5,3,6,3,8,4,10,4
6977,2,1,3,1,3,3,3,4,4,5,3
6978,1,5,2,6,2,7,2,10,3,12,3
6979,1,1,2,3,3,6,3,7,3,7,3
6980,1,1,1,2,1,3,3,4,3,8,2
6981,2,4,2,9,4,10,4,12,4,12,2
6982,1,5,2,7,3,8,3,11,4,13,4
6983,1,1,1,1,2,4,2,8,4,13,3
6984,1,1,1,7,1,9,3,12,4,12,3
6985,1,3,3,9,3,10,3,10,3,12,2
6986,1,1,1,3,2,4,2,8,3,10,3
6987,2,1,2,8,4,11,4,11,4,13,2
6988,1,1,1,5,1,6,1,9,4,10,2
6989,3,4,3,8,4,9,4,12,4,13,2
6990,1,2,2,6,2,8,3,10,4,12,4
6991,1,5,1,6,4,7,4,8,4,10,2
6992,2,2,3,3,4,3,4,9,4,13,3
6993,1,2,2,5,3,6,4,8,4,9,4
6994,2,2,3,4,3,4,3,6,4,11,3
6995,1,2,1,7,3,10,3,11,4,12,3
6996,1,3,1,4,1,6,3,7,3,9,2
6997,1,3,2,4,2,9,3,11,4,12,4
6998,3,1,3,1,4,2,4,7,4,9,2
6999,2,1,2,1,3,6,3,8,4,12,3
7000,1,4,2,5,2,6,3,9,4,9,4
7001,1,1,1,2,1,2,3,4,4,5,3
7002,2,1,2,7,2,10,3,10,4,13,3
7003,2,1,3,2,4,5,4,8,4,13,3
7004,1,1,2,7,4,8,4,13,4,13,3
7005,1,4,1,6,1,7,1,8,3,10,2
7006,1,2,1,6,2,8,2,10,4,12,3
7007,1,2,3,3,4,5,4,7,4,12,3
7008,1,3,2,3,3,6,3,10,4,12,4
7009,2,4,3,4,3,6,3,9,4,10,3
7010,1,2,1,3,1,4,2,12,3,13,3
7011,2,2,2,2,2,4,3,8,3,13,2
7012,1,1,1,3,2,3,3,4,4,9,4
7013,1,2,3,4,3,9,3,10,4,13,3
7014,1,1,1,5,2,9,2,13,4,13,3
7015,1,1,3,1,3,1,3,4,4,12,3
7016,1,1,3,3,3,4,4,6,4,12,3
7017,1,3,2,4,3,6,4,7,4,9,4
7018,2,4,3,7,4,9,4,10,4,11,3
7019,1,4,3,6,4,8,4,10,4,12,3
7020,2,5,2,6,3,8,3,8,4,11,3
7021,1,3,2,5,3,9,4,10,4,12,4
7022,1,5,2,6,2,10,3,12,4,13,4
7023,1,6,2,7,2,8,3,11,3,12,3
7024,1,3,2,6,2,7,2,11,3,13,3
7025,1,5,1,9,3,10,4,10,4,10,3
7026,2,1,2,1,3,4,3,8,4,13,3
7027,1,1,3,3,3,11,3,12,4,13,3
7028,1,2,1,3,3,6,4,11,4,12,3
7029,1,5,1,7,2,9,2,11,4,12,3
7030,2,1,2,2,3,10,4,12,4,12,3
7031,1,4,3,6,3,8,3,9,4,12,3
7032,1,5,1,5,2,5,3,10,4,13,4
7033,1,2,1,7,1,9,1,10,3,12,2
7034,1,1,2,2,2,4,3,10,4,10,4
7035,1,2,2,7,2,11,2,12,3,13,3
7036,1,3,4,9,4,10,4,12,4,13,2
7037,2,3,3,9,3,9,3,10,3,12,2
7038,1,2,1,4,1,6,3,11,4,13,3
7039,1,3,3,8,3,10,4,11,4,12,3
7040,1,1,2,5,3,6,3,10,3,11,3
7041,1,3,1,8,1,9,2,13,4,13,3
7042,2,1,2,2,3,3,4,3,4,11,3
7043,1,3,1,3,3,3,3,9,4,13,3
7044,1,2,1,3,1,5,2,7,4,13,3
7045,1,4,2,4,2,5,3,13,3,13,3
7046,1,2,1,2,2,4,2,6,2,12,2
7047,3,1,3,4,3,8,4,11,4,13,2
7048,2,4,3,6,3,7,4,9,4,13,3
7049,1,2,2,3,3,6,3,10,4,11,4
7050,1,1,1,2,2,2,3,7,4,9,4
7051,1,1,2,5,3,6,3,10,4,10,4
7052,2,5,3,6,3,9,4,9,4,10,3
7053,1,3,1,8,3,9,4,9,4,13,3
